Country,Age,YearsCode,EdLevel,WorkExp,Currency,CompTotal,ConvertedCompYearly,Rate,gini_index,Human Development Index (HDI) ,Expected years of schooling,Mean years of schooling,HDI rank
United States,29,13,5,7.0,USD,156000.0,156000.0,1.0,41.5,0.927,16.4,13.6,21.0
Philippines,29,7,5,6.0,PHP,1320000.0,23456.0,56.5,42.3,0.71,12.8,9.0,118.0
United Kingdom,39,22,3,22.0,GBP,78000.0,96828.0,0.81,35.1,0.94,17.6,13.4,17.0
United States,39,5,3,4.0,USD,135000.0,135000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,6,5,5.0,USD,80000.0,80000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,29,11,5,9.0,USD,75000.0,75000.0,1.0,41.5,0.927,16.4,13.6,21.0
United States,39,6,6,10.0,USD,150000.0,150000.0,1.0,41.5,0.927,16.4,13.6,21.0
Netherlands,29,16,6,7.0,EUR,175000.0,187407.0,0.93,29.2,0.946,18.6,12.6,11.0
Germany,39,16,6,15.0,EUR,100000.0,107090.0,0.93,31.7,0.95,17.3,14.3,7.0
France,29,12,6,6.0,EUR,55000.0,58899.0,0.93,32.4,0.91,16.0,11.7,27.0
Albania,9,4,1,4.0,AMD,5555.0,14.0,385.0,30.8,0.789,14.5,10.1,74.0
Germany,39,25,3,14.0,EUR,70044.0,75010.0,0.93,31.7,0.95,17.3,14.3,7.0
United Kingdom,29,7,5,6.0,GBP,49000.0,60828.0,0.81,35.1,0.94,17.6,13.4,17.0
Germany,29,21,7,5.0,EUR,80000.0,85672.0,0.93,31.7,0.95,17.3,14.3,7.0
Spain,39,0,6,10.0,EUR,35000.0,37481.0,0.93,34.3,0.911,17.8,10.6,28.0
South Africa,39,13,6,10.0,ZAR,2000000.0,103743.0,19.2,63.0,0.717,14.3,11.6,105.0
United Kingdom,39,4,5,18.0,GBP,31000.0,38483.0,0.81,35.1,0.94,17.6,13.4,17.0
Spain,39,16,4,15.0,EUR,70000.0,74963.0,0.93,34.3,0.911,17.8,10.6,28.0
Germany,29,11,2,7.0,EUR,50000.0,53545.0,0.93,31.7,0.95,17.3,14.3,7.0
Italy,39,17,5,13.0,EUR,40000.0,42836.0,0.93,35.2,0.906,16.7,10.7,30.0
United States,59,34,3,39.0,USD,130000.0,130000.0,1.0,41.5,0.927,16.4,13.6,21.0
Germany,29,14,6,3.0,EUR,50408.0,53982.0,0.93,31.7,0.95,17.3,14.3,7.0
United Kingdom,29,7,5,6.0,GBP,110000.0,136552.0,0.81,35.1,0.94,17.6,13.4,17.0
Bangladesh,29,11,6,4.0,BDT,1560000.0,14503.0,109.5,32.4,0.67,11.9,7.4,130.0
Canada,21,12,5,2.0,CAD,150000.0,111527.0,1.36,33.3,0.935,16.0,13.9,16.0
United States,21,4,3,2.0,USD,63000.0,63000.0,1.0,41.5,0.927,16.4,13.6,21.0
Argentina,39,23,2,14.0,USD,98000.0,98000.0,1.0,42.3,0.849,19.0,11.1,47.0
Canada,29,14,5,10.0,CAD,136500.0,101490.0,1.36,33.3,0.935,16.0,13.9,16.0
Switzerland,59,33,6,28.0,CHF,136000.0,149894.0,0.9,33.1,0.967,16.6,13.9,1.0
Sri Lanka,29,5,5,4.0,LKR,500000.0,1721.0,320.0,39.3,0.78,13.6,11.2,76.0
Lithuania,29,21,2,12.0,EUR,42000.0,44978.0,0.93,35.3,0.879,16.4,13.5,36.0
Serbia,29,9,6,5.0,USD,105000.0,105000.0,1.0,34.5,0.805,14.5,11.5,60.0
Germany,39,21,6,9.0,EUR,77000.0,82459.0,0.93,31.7,0.95,17.3,14.3,7.0
Netherlands,21,11,5,3.0,EUR,36000.0,38552.0,0.93,29.2,0.946,18.6,12.6,11.0
Brazil,39,21,5,17.0,BRL,120000.0,24345.0,5.01,48.9,0.76,15.6,8.3,84.0
Latvia,39,19,4,15.0,EUR,50000.0,53545.0,0.93,34.5,0.879,16.6,13.3,39.0
Australia,29,16,5,9.0,AUD,110000.0,72714.0,1.55,34.3,0.946,21.1,12.7,5.0
Germany,29,13,5,6.0,EUR,80800.0,86528.0,0.93,31.7,0.95,17.3,14.3,7.0
Greece,29,13,6,12.0,EUR,28800.0,30842.0,0.93,33.1,0.893,20.0,11.4,33.0
Norway,29,16,6,5.0,EUR,110000.0,117798.0,0.93,27.7,0.966,18.6,13.1,2.0
United States,29,13,5,7.0,USD,145000.0,145000.0,1.0,41.5,0.927,16.4,13.6,21.0
Germany,29,13,6,6.0,EUR,80000.0,85672.0,0.93,31.7,0.95,17.3,14.3,7.0
France,39,13,6,10.0,EUR,80000.0,85672.0,0.93,32.4,0.91,16.0,11.7,27.0
United States,29,21,5,15.0,USD,200990.0,200990.0,1.0,41.5,0.927,16.4,13.6,21.0
Sweden,39,21,3,4.0,SEK,500000.0,46071.0,11.0,29.3,0.952,19.0,12.7,5.0
Germany,49,27,6,25.0,EUR,90000.0,96381.0,0.93,31.7,0.95,17.3,14.3,7.0
India,29,8,5,6.0,INR,1500000.0,18175.0,83.0,35.7,0.644,12.6,6.6,135.0
United States,39,15,5,22.0,USD,118000.0,118000.0,1.0,41.5,0.927,16.4,13.6,21.0
Serbia,39,21,6,16.0,RSD,10000000.0,91371.0,109.0,34.5,0.805,14.5,11.5,60.0
Poland,29,9,5,6.0,PLN,200000.0,47852.0,4.3,30.2,0.881,15.9,13.2,35.0
Finland,49,36,1,28.0,EUR,100000.0,107090.0,0.93,27.7,0.942,19.2,12.9,11.0
Nepal,29,11,5,6.0,NPR,4200000.0,31833.0,132.0,32.8,0.601,12.6,4.5,149.0
Slovenia,39,17,6,18.0,EUR,140000.0,149925.0,0.93,24.4,0.926,17.4,12.9,24.0
Switzerland,29,9,5,5.0,CHF,110000.0,121238.0,0.9,33.1,0.967,16.6,13.9,1.0
China,29,22,5,6.0,AUD,110000.0,72714.0,1.55,38.2,0.788,15.2,8.1,74.0
Portugal,39,19,6,12.0,EUR,65000.0,69608.0,0.93,32.8,0.874,16.8,9.6,39.0
Poland,29,14,5,11.0,PLN,200000.0,47852.0,4.3,30.2,0.881,15.9,13.2,35.0
Austria,29,12,6,5.0,EUR,56000.0,59970.0,0.93,30.2,0.926,16.4,12.3,22.0
Belgium,29,9,4,4.0,EUR,50000.0,53545.0,0.93,27.2,0.942,18.9,12.5,13.0
Romania,29,15,5,10.0,RON,15000.0,3237.0,4.6,34.8,0.827,14.5,11.4,52.0
Canada,21,8,5,7.0,CAD,70000.0,52046.0,1.36,33.3,0.935,16.0,13.9,16.0
Belgium,29,10,6,4.0,EUR,39000.0,41765.0,0.93,27.2,0.942,18.9,12.5,13.0
Netherlands,29,10,5,7.0,EUR,66604.0,71326.0,0.93,29.2,0.946,18.6,12.6,11.0
Austria,29,10,5,9.0,EUR,58800.0,62969.0,0.93,30.2,0.926,16.4,12.3,22.0
United Kingdom,39,17,5,12.0,GBP,45000.0,55862.0,0.81,35.1,0.94,17.6,13.4,17.0
India,39,11,6,10.0,INR,2000000.0,24234.0,83.0,35.7,0.644,12.6,6.6,135.0
