country,category,parameter,mode,powertrain,year,unit,value,country_standardized
Australia,Historical,EV stock share,Cars,EV,2011,percent,0.000390000001062,Australia
Australia,Historical,EV sales share,Cars,EV,2011,percent,0.00650000013411,Australia
Australia,Historical,EV sales,Cars,BEV,2011,Vehicles,49.0,Australia
Australia,Historical,EV stock,Cars,BEV,2011,Vehicles,49.0,Australia
Australia,Historical,EV stock,Cars,BEV,2012,Vehicles,220.0,Australia
Australia,Historical,EV sales,Cars,BEV,2012,Vehicles,170.0,Australia
Australia,Historical,EV sales share,Cars,EV,2012,percent,0.029999999329448,Australia
Australia,Historical,EV stock share,Cars,EV,2012,percent,0.002400000113994,Australia
Australia,Historical,EV stock,Cars,PHEV,2012,Vehicles,80.0,Australia
Australia,Historical,EV sales,Cars,PHEV,2012,Vehicles,80.0,Australia
Australia,Historical,EV sales,Cars,PHEV,2013,Vehicles,100.0,Australia
Australia,Historical,EV stock,Cars,PHEV,2013,Vehicles,180.0,Australia
Australia,Historical,EV stock share,Cars,EV,2013,percent,0.004600000102073,Australia
Australia,Historical,EV sales share,Cars,EV,2013,percent,0.034000001847744,Australia
Australia,Historical,EV sales,Cars,BEV,2013,Vehicles,190.0,Australia
Australia,Historical,EV stock,Cars,BEV,2013,Vehicles,410.0,Australia
Australia,Historical,EV stock,Cars,BEV,2014,Vehicles,780.0,Australia
Australia,Historical,EV sales,Cars,BEV,2014,Vehicles,370.0,Australia
Australia,Historical,EV sales share,Cars,EV,2014,percent,0.159999996423721,Australia
Australia,Historical,EV stock share,Cars,EV,2014,percent,0.014000000432134,Australia
Australia,Historical,EV stock,Cars,PHEV,2014,Vehicles,1100.0,Australia
Australia,Historical,EV sales,Cars,PHEV,2014,Vehicles,950.0,Australia
Australia,Historical,EV sales,Cars,PHEV,2015,Vehicles,1000.0,Australia
Australia,Historical,EV stock,Cars,PHEV,2015,Vehicles,2100.0,Australia
Australia,Historical,EV stock share,Cars,EV,2015,percent,0.027000000700355,Australia
Australia,Historical,EV sales share,Cars,EV,2015,percent,0.200000002980232,Australia
Australia,Historical,EV sales,Cars,BEV,2015,Vehicles,760.0,Australia
Australia,Historical,EV stock,Cars,BEV,2015,Vehicles,1500.0,Australia
Australia,Historical,EV stock,Cars,BEV,2016,Vehicles,2200.0,Australia
Australia,Historical,EV sales,Cars,BEV,2016,Vehicles,670.0,Australia
Australia,Historical,EV sales share,Cars,EV,2016,percent,0.150000005960464,Australia
Australia,Historical,EV stock share,Cars,EV,2016,percent,0.037000000476837,Australia
Australia,Historical,EV stock,Cars,PHEV,2016,Vehicles,2800.0,Australia
Australia,Historical,EV sales,Cars,PHEV,2016,Vehicles,700.0,Australia
Australia,Historical,EV sales,Cars,PHEV,2017,Vehicles,1100.0,Australia
Australia,Historical,EV stock,Cars,PHEV,2017,Vehicles,3900.0,Australia
Australia,Historical,EV stock share,Cars,EV,2017,percent,0.052000001072884,Australia
Australia,Historical,EV sales share,Cars,EV,2017,percent,0.259999990463257,Australia
Australia,Historical,EV charging points,EV,Publicly available fast,2017,charging points,40.0,Australia
Australia,Historical,EV charging points,EV,Publicly available slow,2017,charging points,440.0,Australia
Australia,Historical,EV sales,Cars,BEV,2017,Vehicles,1200.0,Australia
Australia,Historical,EV stock,Cars,BEV,2017,Vehicles,3400.0,Australia
Australia,Historical,EV stock,Cars,BEV,2018,Vehicles,5200.0,Australia
