#,country,Daily Oil Consumption (Barrels),World Share,Yearly Gallons Per Capita,Price Per Gallon (USD),Price Per Liter (USD),Price Per Liter (PKR),country_standardized
1,United States,19687287,20.30%,934.3,5.19,1.37,289.97,United States
2,China,12791553,13.20%,138.7,5.42,1.43,302.87,China
3,India,4443000,4.60%,51.4,5.05,1.33,281.93,India
4,Japan,4012877,4.10%,481.5,4.69,1.24,262.05,Japan
5,Russia,3631287,3.70%,383.2,3.41,0.9,190.56,Russian Federation
6,Saudi Arabia,3302000,3.40%,1560.2,2.35,0.62,131.34,Saudi Arabia
7,Brazil,2984000,3.10%,221.9,5.36,1.42,299.27,Brazil
8,South Korea,2605440,2.70%,783.4,6.09,1.61,340.52,South Korea
9,Canada,2486301,2.60%,1047.6,6.76,1.79,377.74,Canada
10,Germany,2383393,2.50%,444.5,7.65,2.02,427.44,Germany
11,Mexico,2052607,2.10%,255.1,4.36,1.15,243.44,Mexico
12,Iran,1803999,1.90%,347.6,0.2,0.05,11.21,Iran
13,France,1705568,1.80%,404.3,8.27,2.19,462.13,France
14,Indonesia,1623000,1.70%,95.1,4.48,1.18,250.42,Indonesia
15,United Kingdom,1583896,1.60%,366.2,8.38,2.22,468.47,United Kingdom
16,Singapore,1357000,1.40%,3679.5,8.71,2.3,486.87,Singapore
17,Thailand,1302000,1.30%,289.4,5.7,1.51,318.73,Thailand
18,Italy,1236628,1.30%,312.5,8.01,2.12,447.53,Italy
19,Spain,1290063,1.30%,424.1,8.35,2.21,466.57,Spain
20,Australia,1114645,1.10%,704.3,5.22,1.38,291.45,Australia
21,Turkey,941861,1.00%,180.9,6.06,1.6,338.4,Turkey
22,Taiwan,981203,1.00%,636.9,3.94,1.04,220.17,Taiwan
23,Netherlands,937098,1.00%,846.0,9.33,2.47,521.35,Netherlands
24,Egypt,877000,0.90%,142.3,1.97,0.52,110.19,Egypt
25,Iraq,857000,0.90%,358.9,1.95,0.51,108.71,Iraq
26,United Arab Emirates,896000,0.90%,1467.3,4.15,1.1,232.02,United Arab Emirates
27,South Africa,640000,0.70%,174.6,5.59,1.48,312.6,South Africa
28,Argentina,709000,0.70%,249.8,3.96,1.05,221.23,Argentina
29,Malaysia,708000,0.70%,353.7,1.76,0.46,98.14,Malaysia
30,Belgium,631522,0.70%,852.6,8.36,2.21,466.99,Belgium
31,Pakistan,556000,0.60%,41.9,3.9,1.03,217.85,Pakistan
32,Poland,582161,0.60%,234.9,6.8,1.8,380.07,Poland
33,Venezuela,598000,0.60%,307.1,0.08,0.02,4.65,Venezuela
34,Vietnam,478000,0.50%,78.3,5.38,1.42,300.75,Vietnam
35,Nigeria,428000,0.40%,35.3,1.57,0.42,87.98,Nigeria
36,Philippines,429000,0.40%,63.4,5.88,1.55,328.46,Philippines
37,Colombia,357000,0.40%,113.6,2.28,0.6,127.11,Colombia
38,Algeria,429000,0.40%,162.2,1.18,0.31,66.2,Algeria
39,Chile,351989,0.40%,296.3,5.26,1.39,293.77,Chile
40,Hong Kong,408491,0.40%,864.5,11.35,3.0,634.29,Hong Kong
41,Kuwait,359000,0.40%,1390.9,1.29,0.34,72.33,Kuwait
42,Ukraine,244000,0.30%,83.7,6.44,1.7,359.76,Ukraine
43,Morocco,275000,0.30%,120.0,6.36,1.68,355.53,Morocco
44,Peru,246000,0.30%,121.9,6.26,1.65,349.82,Peru
45,Ecuador,259000,0.30%,240.8,4.43,1.17,247.46,Ecuador
46,Kazakhstan,325000,0.30%,279.4,1.8,0.48,100.46,Kazakhstan
47,Greece,296101,0.30%,427.6,9.49,2.51,530.02,Greece
48,Austria,262352,0.30%,459.8,8.07,2.13,450.92,Austria
49,Sweden,322109,0.30%,502.0,8.7,2.3,486.24,Sweden
50,Romania,200000,0.20%,154.9,6.87,1.82,384.08,Romania
51,Cuba,153000,0.20%,206.9,4.77,1.26,266.49,Cuba
52,Hungary,155544,0.20%,244.5,7.6,2.01,424.48,Hungary
53,Czech Republic (Czechia),179956,0.20%,259.8,7.56,2.0,422.15,Czech Republic
54,Lebanon,153000,0.20%,349.3,5.41,1.43,302.23,Lebanon
55,Portugal,236866,0.20%,351.7,8.55,2.26,477.78,Portugal
56,Turkmenistan,149000,0.20%,403.4,1.62,0.43,90.52,Turkmenistan
57,Switzerland,228194,0.20%,417.5,8.27,2.19,462.34,Switzerland
58,Denmark,158194,0.20%,424.6,10.04,2.65,561.11,Denmark
59,Israel,236249,0.20%,446.6,7.94,2.1,443.73,Israel
60,Ireland,152404,0.20%,497.5,7.84,2.07,437.81,Ireland
61,Libya,223000,0.20%,526.6,0.12,0.03,6.56,Libya
62,New Zealand,166913,0.20%,549.2,7.82,2.07,436.75,New Zealand
63,Finland,210030,0.20%,585.7,10.01,2.64,559.21,Finland
64,Panama,155000,0.20%,588.6,5.49,1.45,306.68,Panama
65,Norway,204090,0.20%,595.8,10.22,2.7,571.26,Norway
66,Oman,183000,0.20%,626.3,2.35,0.62,131.34,Oman
67,Qatar,172000,0.20%,993.4,2.18,0.58,121.82,Qatar
68,Bangladesh,113000,0.10%,11.0,3.59,0.95,200.5,Bangladesh
69,Myanmar,123000,0.10%,35.5,4.75,1.26,265.43,Myanmar
70,Kenya,114000,0.10%,35.6,5.14,1.36,287.01,Kenya
71,Sudan,140000,0.10%,53.9,4.8,1.27,268.18,Sudan
72,Angola,133000,0.10%,70.7,1.39,0.37,77.83,Angola
73,Sri Lanka,127000,0.10%,92.6,4.75,1.26,265.43,Sri Lanka
74,Syria,140000,0.10%,122.9,1.08,0.29,60.49,Syrian Arab Republic
75,Tunisia,97000,0.10%,131.5,2.86,0.76,159.68,Tunisia
76,Jordan,114000,0.10%,182.9,6.3,1.66,351.94,Jordan
77,Dominican Republic,133000,0.10%,196.1,5.33,1.41,298.0,Dominican Republic
78,Bulgaria,97000,0.10%,207.9,6.53,1.72,364.63,Bulgaria
79,Belarus,137000,0.10%,222.3,2.67,0.71,149.11,Belarus
80,Puerto Rico,96746,0.10%,451.7,5.41,1.43,302.23,Puerto Rico
81,Azerbaijan,96000,0.10%,151.2,2.23,0.59,124.36,Azerbaijan
82,Guatemala,93000,0.10%,86.0,5.14,1.36,287.01,Guatemala
83,Bolivia,90000,0.09%,125.1,2.06,0.54,115.06,Bolivia
84,Ghana,88000,0.09%,47.4,4.87,1.29,271.99,Ghana
85,Slovakia,81587,0.08%,229.8,7.5,1.98,418.98,Slovakia
86,Ethiopia,74000,0.08%,10.9,2.7,0.71,150.59,Ethiopia
