country_code,country,year,value,country_standardized
AGO,Angola,2000,52.0,Angola
AGO,Angola,2008,42.7,Angola
AGO,Angola,2018,51.3,Angola
ALB,Albania,1996,27.0,Albania
ALB,Albania,2002,31.7,Albania
ALB,Albania,2005,30.6,Albania
ALB,Albania,2008,30.0,Albania
ALB,Albania,2012,29.0,Albania
ALB,Albania,2014,34.6,Albania
ALB,Albania,2015,32.8,Albania
ALB,Albania,2016,33.7,Albania
ALB,Albania,2017,33.1,Albania
ALB,Albania,2018,30.1,Albania
ALB,Albania,2019,30.8,Albania
ARE,United Arab Emirates,2013,32.5,United Arab Emirates
ARE,United Arab Emirates,2014,32.5,United Arab Emirates
ARE,United Arab Emirates,2018,26.0,United Arab Emirates
ARG,Argentina,1980,40.8,Argentina
ARG,Argentina,1986,42.8,Argentina
ARG,Argentina,1987,45.3,Argentina
ARG,Argentina,1991,46.8,Argentina
ARG,Argentina,1992,45.5,Argentina
ARG,Argentina,1993,44.9,Argentina
ARG,Argentina,1994,45.9,Argentina
ARG,Argentina,1995,48.9,Argentina
ARG,Argentina,1996,49.5,Argentina
ARG,Argentina,1997,49.1,Argentina
ARG,Argentina,1998,50.7,Argentina
ARG,Argentina,1999,49.8,Argentina
ARG,Argentina,2000,51.1,Argentina
ARG,Argentina,2001,53.3,Argentina
ARG,Argentina,2002,53.8,Argentina
ARG,Argentina,2003,50.9,Argentina
ARG,Argentina,2004,48.4,Argentina
ARG,Argentina,2005,47.7,Argentina
ARG,Argentina,2006,46.3,Argentina
ARG,Argentina,2007,46.2,Argentina
ARG,Argentina,2008,44.9,Argentina
ARG,Argentina,2009,43.7,Argentina
ARG,Argentina,2010,43.6,Argentina
ARG,Argentina,2011,42.6,Argentina
ARG,Argentina,2012,41.3,Argentina
ARG,Argentina,2013,40.9,Argentina
ARG,Argentina,2014,41.6,Argentina
ARG,Argentina,2016,42.0,Argentina
ARG,Argentina,2017,41.1,Argentina
ARG,Argentina,2018,41.3,Argentina
ARG,Argentina,2019,42.9,Argentina
ARG,Argentina,2020,42.3,Argentina
ARM,Armenia,1999,36.2,Armenia
ARM,Armenia,2001,35.4,Armenia
ARM,Armenia,2002,34.8,Armenia
ARM,Armenia,2003,33.0,Armenia
ARM,Armenia,2004,37.5,Armenia
ARM,Armenia,2005,36.0,Armenia
ARM,Armenia,2006,29.7,Armenia
ARM,Armenia,2007,31.2,Armenia
ARM,Armenia,2008,29.2,Armenia
ARM,Armenia,2009,28.0,Armenia
ARM,Armenia,2010,30.0,Armenia
ARM,Armenia,2011,29.4,Armenia
ARM,Armenia,2012,29.6,Armenia
ARM,Armenia,2013,30.6,Armenia
ARM,Armenia,2014,31.5,Armenia
ARM,Armenia,2015,32.4,Armenia
ARM,Armenia,2016,32.5,Armenia
ARM,Armenia,2017,33.6,Armenia
ARM,Armenia,2018,34.4,Armenia
ARM,Armenia,2019,29.9,Armenia
ARM,Armenia,2020,25.2,Armenia
AUS,Australia,1981,31.3,Australia
AUS,Australia,1985,32.5,Australia
AUS,Australia,1989,33.2,Australia
AUS,Australia,1995,32.6,Australia
AUS,Australia,2001,33.5,Australia
AUS,Australia,2003,33.5,Australia
AUS,Australia,2004,33.1,Australia
AUS,Australia,2008,35.4,Australia
AUS,Australia,2010,34.7,Australia
AUS,Australia,2014,34.4,Australia
AUS,Australia,2016,33.7,Australia
AUS,Australia,2018,34.3,Australia
AUT,Austria,1987,23.0,Austria
AUT,Austria,1994,31.3,Austria
AUT,Austria,1995,31.1,Austria
AUT,Austria,1997,30.2,Austria
AUT,Austria,2000,28.8,Austria
AUT,Austria,2003,29.5,Austria
AUT,Austria,2004,29.8,Austria
AUT,Austria,2005,28.7,Austria
AUT,Austria,2006,29.6,Austria
AUT,Austria,2007,30.6,Austria
AUT,Austria,2008,30.4,Austria
AUT,Austria,2009,31.5,Austria
AUT,Austria,2010,30.3,Austria
AUT,Austria,2011,30.8,Austria
AUT,Austria,2012,30.5,Austria
AUT,Austria,2013,30.8,Austria
AUT,Austria,2014,30.5,Austria
AUT,Austria,2015,30.5,Austria
AUT,Austria,2016,30.8,Austria
AUT,Austria,2017,29.7,Austria
AUT,Austria,2018,30.8,Austria
AUT,Austria,2019,30.2,Austria
AZE,Azerbaijan,1995,34.7,Azerbaijan
AZE,Azerbaijan,2001,36.5,Azerbaijan
AZE,Azerbaijan,2002,25.3,Azerbaijan
AZE,Azerbaijan,2003,26.8,Azerbaijan
AZE,Azerbaijan,2004,26.6,Azerbaijan
AZE,Azerbaijan,2005,26.6,Azerbaijan
BDI,Burundi,1992,33.3,Burundi
BDI,Burundi,1998,42.3,Burundi
BDI,Burundi,2006,33.4,Burundi
BDI,Burundi,2013,38.6,Burundi
BEL,Belgium,1985,25.2,Belgium
BEL,Belgium,1988,25.7,Belgium
BEL,Belgium,1992,25.0,Belgium
BEL,Belgium,1995,28.4,Belgium
BEL,Belgium,1997,26.8,Belgium
BEL,Belgium,2000,33.1,Belgium
BEL,Belgium,2003,28.1,Belgium
BEL,Belgium,2004,30.5,Belgium
BEL,Belgium,2005,29.3,Belgium
BEL,Belgium,2006,28.1,Belgium
BEL,Belgium,2007,29.2,Belgium
BEL,Belgium,2008,28.4,Belgium
BEL,Belgium,2009,28.6,Belgium
BEL,Belgium,2010,28.4,Belgium
BEL,Belgium,2011,28.1,Belgium
BEL,Belgium,2012,27.5,Belgium
BEL,Belgium,2013,27.7,Belgium
BEL,Belgium,2014,28.1,Belgium
BEL,Belgium,2015,27.7,Belgium
BEL,Belgium,2016,27.6,Belgium
BEL,Belgium,2017,27.4,Belgium
BEL,Belgium,2018,27.2,Belgium
BEL,Belgium,2019,27.2,Belgium
BEN,Benin,2003,38.6,Benin
BEN,Benin,2011,43.4,Benin
BEN,Benin,2015,47.8,Benin
BEN,Benin,2018,37.8,Benin
BFA,Burkina Faso,1994,48.1,Burkina Faso
BFA,Burkina Faso,1998,49.9,Burkina Faso
BFA,Burkina Faso,2003,43.3,Burkina Faso
BFA,Burkina Faso,2009,39.8,Burkina Faso
BFA,Burkina Faso,2014,35.3,Burkina Faso
BFA,Burkina Faso,2018,47.3,Burkina Faso
BGD,Bangladesh,1983,25.9,Bangladesh
BGD,Bangladesh,1985,26.9,Bangladesh
BGD,Bangladesh,1988,28.8,Bangladesh
BGD,Bangladesh,1991,27.6,Bangladesh
BGD,Bangladesh,1995,32.9,Bangladesh
BGD,Bangladesh,2000,33.4,Bangladesh
BGD,Bangladesh,2005,33.2,Bangladesh
BGD,Bangladesh,2010,32.1,Bangladesh
BGD,Bangladesh,2016,32.4,Bangladesh
BGR,Bulgaria,1992,30.7,Bulgaria
BGR,Bulgaria,2006,35.7,Bulgaria
BGR,Bulgaria,2007,36.1,Bulgaria
BGR,Bulgaria,2008,33.6,Bulgaria
BGR,Bulgaria,2009,33.8,Bulgaria
BGR,Bulgaria,2010,35.7,Bulgaria
BGR,Bulgaria,2011,34.3,Bulgaria
BGR,Bulgaria,2012,36.0,Bulgaria
BGR,Bulgaria,2013,36.6,Bulgaria
BGR,Bulgaria,2014,37.4,Bulgaria
BGR,Bulgaria,2015,38.6,Bulgaria
BGR,Bulgaria,2016,40.6,Bulgaria
BGR,Bulgaria,2017,40.4,Bulgaria
BGR,Bulgaria,2018,41.3,Bulgaria
BGR,Bulgaria,2019,40.3,Bulgaria
BIH,Bosnia and Herzegovina,2001,30.0,Bosnia and Herzegovina
BIH,Bosnia and Herzegovina,2004,34.0,Bosnia and Herzegovina
BIH,Bosnia and Herzegovina,2007,33.1,Bosnia and Herzegovina
BIH,Bosnia and Herzegovina,2011,33.0,Bosnia and Herzegovina
BLR,Belarus,1998,32.0,Belarus
BLR,Belarus,1999,31.7,Belarus
BLR,Belarus,2000,31.2,Belarus
BLR,Belarus,2001,30.6,Belarus
BLR,Belarus,2002,30.3,Belarus
BLR,Belarus,2003,28.8,Belarus
BLR,Belarus,2004,26.5,Belarus
BLR,Belarus,2005,27.6,Belarus
BLR,Belarus,2006,28.3,Belarus
BLR,Belarus,2007,29.6,Belarus
BLR,Belarus,2008,27.8,Belarus
BLR,Belarus,2009,27.7,Belarus
BLR,Belarus,2010,28.6,Belarus
BLR,Belarus,2011,27.2,Belarus
BLR,Belarus,2012,26.5,Belarus
BLR,Belarus,2013,26.6,Belarus
BLR,Belarus,2014,27.2,Belarus
BLR,Belarus,2015,25.6,Belarus
BLR,Belarus,2016,25.3,Belarus
BLR,Belarus,2017,25.4,Belarus
BLR,Belarus,2018,25.2,Belarus
BLR,Belarus,2019,25.3,Belarus
BLR,Belarus,2020,24.4,Belarus
BLZ,Belize,1993,60.3,Belize
BLZ,Belize,1994,60.9,Belize
BLZ,Belize,1996,56.6,Belize
BLZ,Belize,1997,60.4,Belize
BLZ,Belize,1998,54.9,Belize
BLZ,Belize,1999,53.3,Belize
BOL,Bolivia,1992,49.1,Bolivia
BOL,Bolivia,1997,58.2,Bolivia
BOL,Bolivia,1999,58.1,Bolivia
BOL,Bolivia,2000,61.6,Bolivia
BOL,Bolivia,2001,57.4,Bolivia
BOL,Bolivia,2002,59.3,Bolivia
BOL,Bolivia,2004,55.0,Bolivia
BOL,Bolivia,2005,58.5,Bolivia
BOL,Bolivia,2006,56.7,Bolivia
BOL,Bolivia,2007,54.5,Bolivia
BOL,Bolivia,2008,50.8,Bolivia
BOL,Bolivia,2009,49.2,Bolivia
BOL,Bolivia,2011,46.1,Bolivia
BOL,Bolivia,2012,46.6,Bolivia
BOL,Bolivia,2013,47.6,Bolivia
BOL,Bolivia,2014,47.8,Bolivia
BOL,Bolivia,2015,46.7,Bolivia
BOL,Bolivia,2016,45.3,Bolivia
BOL,Bolivia,2017,44.6,Bolivia
BOL,Bolivia,2018,42.6,Bolivia
BOL,Bolivia,2019,41.6,Bolivia
BOL,Bolivia,2020,43.6,Bolivia
BRA,Brazil,1981,57.9,Brazil
BRA,Brazil,1982,58.4,Brazil
BRA,Brazil,1983,59.0,Brazil
BRA,Brazil,1984,58.4,Brazil
BRA,Brazil,1985,55.6,Brazil
BRA,Brazil,1986,58.5,Brazil
BRA,Brazil,1987,59.7,Brazil
BRA,Brazil,1988,61.4,Brazil
BRA,Brazil,1989,63.3,Brazil
BRA,Brazil,1990,60.5,Brazil
BRA,Brazil,1992,53.2,Brazil
BRA,Brazil,1993,60.1,Brazil
BRA,Brazil,1995,59.6,Brazil
BRA,Brazil,1996,59.9,Brazil
BRA,Brazil,1997,59.8,Brazil
BRA,Brazil,1998,59.6,Brazil
BRA,Brazil,1999,59.0,Brazil
BRA,Brazil,2001,58.4,Brazil
BRA,Brazil,2002,58.1,Brazil
BRA,Brazil,2003,57.6,Brazil
BRA,Brazil,2004,56.5,Brazil
BRA,Brazil,2005,56.3,Brazil
BRA,Brazil,2006,55.6,Brazil
BRA,Brazil,2007,54.9,Brazil
BRA,Brazil,2008,54.0,Brazil
BRA,Brazil,2009,53.7,Brazil
BRA,Brazil,2011,52.9,Brazil
BRA,Brazil,2012,53.4,Brazil
BRA,Brazil,2013,52.7,Brazil
BRA,Brazil,2014,52.0,Brazil
BRA,Brazil,2015,51.9,Brazil
BRA,Brazil,2016,53.3,Brazil
BRA,Brazil,2017,53.3,Brazil
BRA,Brazil,2018,53.9,Brazil
BRA,Brazil,2019,53.5,Brazil
BRA,Brazil,2020,48.9,Brazil
BTN,Bhutan,2003,40.9,Bhutan
BTN,Bhutan,2007,38.1,Bhutan
BTN,Bhutan,2012,38.8,Bhutan
BTN,Bhutan,2017,37.4,Bhutan
BWA,Botswana,1985,54.2,Botswana
BWA,Botswana,1993,60.8,Botswana
BWA,Botswana,2002,64.7,Botswana
BWA,Botswana,2009,60.5,Botswana
BWA,Botswana,2015,53.3,Botswana
CAF,Central African Republic,1992,61.3,Central African Republic
CAF,Central African Republic,2003,43.6,Central African Republic
CAF,Central African Republic,2008,56.2,Central African Republic
CAN,Canada,1971,37.3,Canada
CAN,Canada,1975,33.3,Canada
CAN,Canada,1981,32.4,Canada
CAN,Canada,1987,31.5,Canada
CAN,Canada,1991,31.0,Canada
CAN,Canada,1994,31.3,Canada
CAN,Canada,1997,31.6,Canada
CAN,Canada,1998,33.2,Canada
CAN,Canada,2000,33.3,Canada
CAN,Canada,2004,33.7,Canada
CAN,Canada,2007,33.8,Canada
CAN,Canada,2010,33.6,Canada
CAN,Canada,2012,33.5,Canada
CAN,Canada,2013,33.8,Canada
CAN,Canada,2014,33.2,Canada
CAN,Canada,2015,33.7,Canada
CAN,Canada,2016,32.7,Canada
CAN,Canada,2017,33.3,Canada
CHE,Switzerland,1982,36.0,Switzerland
CHE,Switzerland,1992,33.9,Switzerland
CHE,Switzerland,2000,33.4,Switzerland
